ID	Artist	Title	Link	Origin	Not in use	Voice
	10cc	I'm Not in Love	https://youtube.com/watch?v=998LjfjFFiQ	Foreign		
	12. nadstropje	Zelene livade s teboj	https://www.youtube.com/watch?v=6KfIWbskhCs	SLO		
	1x Band	Tih deževen dan	https://www.youtube.com/watch?v=sSdHXPJqgks	SLO		
	3 Doors Down	Here Without You	http://www.youtube.com/watch?v=OzmFgCQftmc	Foreign		
	4 Non Blondes	What's Up	http://www.youtube.com/watch?v=oLShwvZopls	Foreign		
	4 Non Blondes	What's Up	https://youtu.be/RQC7JL4a6fc?t=1561	Foreign	1	
	A Great Big World, Christina Aguilera	Say Something	http://www.youtube.com/watch?v=DhQ46uh2vBU	Foreign		
	A-Ha	Take On Me	https://youtu.be/ytRWEdjf9lk?t=5299	Foreign		
	ABBA	Dancing Queen	http://www.youtube.com/watch?v=WHayJZ3eMcE	Foreign		
	ABBA	Mamma Mia	https://www.youtube.com/watch?v=1YN5Emwwoss	Foreign		w_voice
	ABBA	The Winner Takes It All	https://www.youtube.com/watch?v=FZqeU0TnNRM	Foreign		w_voice
	ABBA	Chiquitita	https://www.youtube.com/watch?v=1gRQKAivLns	Foreign		
	ABBA	Chiquitita	https://youtube.com/watch?v=BzgGqKeMuMs	Foreign		
	ABBA	The Winner Takes It All	https://youtube.com/watch?v=vSUG3VkDKHY	Foreign		
	Adele	Make You Feel My Love	http://www.youtube.com/watch?v=x8SpSPBeeUE	Foreign		
	Adele	Someone Like You	https://www.youtube.com/watch?v=rMSQwIp4Jg8	Foreign		no_voice
	Adi Smolar	Zlata ribica	https://www.youtube.com/watch?v=3SUex_rpmtk	SLO		
	Aerosmith	I Don't Want To Miss A Thing	http://www.youtube.com/watch?v=s9Qc54Jp-6M	Foreign		
	Agropop	Samo milijon nas je	https://www.youtube.com/watch?v=GCT5PhL7FE0	SLO		
	Air Supply	All Out Of Love	https://youtu.be/ytRWEdjf9lk?t=6320	Foreign		
	Air Supply	Even The Nights Are Better	https://youtube.com/watch?v=_7LiL1zVXq4	Foreign		
	Air Supply	All Out Of Love	https://youtube.com/watch?v=p_lCYL-Q9aw	Foreign		
	Air Supply	Come What May	https://youtube.com/watch?v=sO6H47D1CAU	Foreign		
	Air Supply	Now And Forever	https://youtube.com/watch?v=Gbt4V04NFWo	Foreign		
	Air Supply	Someone Who Believes In You	https://youtube.com/watch?v=PitgjU6gnHU	Foreign		
	Air Supply	Just As I Am	https://youtube.com/watch?v=s2OSJgS3EmM	Foreign		
	Al Wilson	Show And Tell	https://youtube.com/watch?v=ioBM6Y4f5s0	Foreign		
	Alan Walker	Faded	http://www.youtube.com/watch?v=xf5rgfur4gw	Foreign		
	Albert Hammond	When I'm Gone	https://youtube.com/watch?v=gfstAVm7boI	Foreign		
	Aleksander Mežek	Siva pot	https://www.youtube.com/watch?v=qWeg1XKulj0	SLO		
	Alen Vitasović	Ne moren bez nje	https://www.youtube.com/watch?v=jYPTH9IxqpY	EX-YU		
	Alen Vogrinec Vesel	Kot berač	https://www.youtube.com/watch?v=yO7HHxeLQXU	SLO		
	Alenka Godec & Perpetuum Jazzile	Mesto sanj	https://www.youtube.com/watch?v=Sd_g6ycMa9s	SLO		
	Alenka Kozolc (Ingrid)	Kaj ti je deklica	https://www.youtube.com/watch?v=L8KJYPBE9nw	SLO		
	Alessi Brothers	Oh Lori	https://youtube.com/watch?v=Ri37C0pssqo	Foreign		
	Alessi Brothers	Oh Lori	https://youtube.com/watch?v=LDJXYq9OGkg	Foreign		
	Alessi Brothers	Oh, Lori	https://youtube.com/watch?v=LaZaVYclsvI	Foreign		
	Alessi Brothers	I Wish That I Was Making Love	https://youtube.com/watch?v=YE6VDzaA1VA	Foreign		
	Alessia Cara	How Far I'll Go	http://www.youtube.com/watch?v=z3QKTOUC6H8	Foreign		
	Alessia Cara	Scars To Your Beautiful	http://www.youtube.com/watch?v=fD8lvKK_keM	Foreign		
	Alexandra Burke	Hallelujah	http://www.youtube.com/watch?v=e3C8Nh3DIwA	Foreign		
	Alexandra Burke	Hallelujah	https://youtu.be/RQC7JL4a6fc?t=2792	Foreign	1	
	Alfi Nipič	Silvestrski poljub	https://www.youtube.com/watch?v=3qTVsJ3JUTM	SLO		
	Alfi Nipič & Neca Falk	Kako sva si različna	https://www.youtube.com/watch?v=Otd93XuN6V0	SLO		
	Alicia Keys	If I Ain't Got You	http://www.youtube.com/watch?v=M5Q0eiMzup0	Foreign		
	Alicia Keys	Girl On Fire	http://www.youtube.com/watch?v=rSWHCZoX2mE	Foreign		
	Alicia Keys	If I ain't got you	https://youtu.be/RQC7JL4a6fc?t=231	Foreign	1	
	Alisa	Sanja	https://www.youtube.com/watch?v=oCdvdX52YiQ	EX-YU		
	Alya	Fluid	https://www.youtube.com/watch?v=90dw1SmIW7A	SLO		
	America	All My Life	https://youtube.com/watch?v=z8b6ZlFX3zk	Foreign		
	America	Sister Golden Hair	https://youtube.com/watch?v=-I8_AD6kQHo	Foreign		
	America	Ventura Highway	https://youtube.com/watch?v=7L9ROTo1wl8	Foreign		
	America	Tin Man	https://youtube.com/watch?v=m3b8gjrY2VY	Foreign		
	America	A Horse With No Name	https://youtube.com/watch?v=OLf5UgXWWzU	Foreign		
	Amy Winehouse	Back To Black	http://www.youtube.com/watch?v=nturlhtt7WA	Foreign		
	Andra Day	Rise Up	http://www.youtube.com/watch?v=J_E1mLcgYq4	Foreign		
	Andrea Bocelli	Bessa Me Mucho	https://www.youtube.com/watch?v=3WyQqs1kEig	Foreign		
	Andrea Bocelli	Quizas Quizas Quizas	https://www.youtube.com/watch?v=rpFpwRDm-qs	Foreign		
	Andrej Šifrer	Gorska roža	https://www.youtube.com/watch?v=SuyJANVtMuY	SLO		
	Anika Horvat	Ogenj in led	https://www.youtube.com/watch?v=T-O0GOaoA4A	SLO		
	Anna Kendrick	Cups (Pitch Perfect's & When I'm Gone)	http://www.youtube.com/watch?v=mNL7iE-CxXA	Foreign		
	Anne Marie	2002	http://www.youtube.com/watch?v=xb3oMef3hnc	Foreign		
	Anne Murray	Medley	https://youtube.com/watch?v=cNBGTlf8dGE	Foreign		
	Anne Murray	Broken Hearted Me	https://youtube.com/watch?v=2BhJ0PaDC3A	Foreign		
	Anne Murray	You Needed Me	https://youtube.com/watch?v=i5h0sqMNNiU	Foreign		
	Anne Murray	I Just Fall In Love Again	https://youtube.com/watch?v=DcmhqGrO1NU	Foreign		
	Anne Murray	Broken Hearted Me	https://youtube.com/watch?v=NoTI_WdDQ40	Foreign		
	Another Day	Paul McCartney	https://youtube.com/watch?v=LtNbaGnss64	Foreign		
	Aretha Franklin	I Say A Little Prayer	https://youtube.com/watch?v=MVYfsVvqO-s	Foreign		
