ID	Artist	Title	Link	Origin	Not in use	Voice
	12. Nadstropje	Zelene Livade s Teboj	https://www.youtube.com/watch?v=6KfIWbskhCs	SLO		
	1x Band	Tih deževen dan	https://www.youtube.com/watch?v=sSdHXPJqgks	SLO		
	3 Doors Down	Here Without You	http://www.youtube.com/watch?v=OzmFgCQftmc	Foreign		
	4 Non Blondes	What's Up	http://www.youtube.com/watch?v=oLShwvZopls	Foreign		
	A Great Big World, Christina Aguilera	Say Something	http://www.youtube.com/watch?v=DhQ46uh2vBU	Foreign		
	ABBA	Dancing Queen	http://www.youtube.com/watch?v=WHayJZ3eMcE	Foreign		
	Adele	Make You Feel My Love	http://www.youtube.com/watch?v=x8SpSPBeeUE	Foreign		
	Adi Smolar	Zlata Ribica	https://www.youtube.com/watch?v=3SUex_rpmtk	SLO		
	Aerosmith	I Don't Want To Miss A Thing	http://www.youtube.com/watch?v=s9Qc54Jp-6M	Foreign		
	Agropop	Samo milijon nas je	https://www.youtube.com/watch?v=GCT5PhL7FE0	SLO		
	Alan Walker	Faded	http://www.youtube.com/watch?v=xf5rgfur4gw	Foreign		
	Aleksander Mežek	Siva Pot	https://www.youtube.com/watch?v=qWeg1XKulj0	SLO		
	Alen Vitasović	Ne moren bez nje	https://www.youtube.com/watch?v=jYPTH9IxqpY	EX-YU		
	Alen Vogrinec Vesel	Kot Berač	https://www.youtube.com/watch?v=yO7HHxeLQXU	SLO		
	Alenka Godec & Perpetuum Jazzile	Mesto Sanj	https://www.youtube.com/watch?v=Sd_g6ycMa9s	SLO		
	Alenka Kozolc (Ingrid)	Kaj Ti Je Deklica	https://www.youtube.com/watch?v=L8KJYPBE9nw	SLO		
	Alessia Cara	How Far I'll Go	http://www.youtube.com/watch?v=z3QKTOUC6H8	Foreign		
	Alessia Cara	Scars To Your Beautiful	http://www.youtube.com/watch?v=fD8lvKK_keM	Foreign		
	Alexandra Burke	Hallelujah	http://www.youtube.com/watch?v=e3C8Nh3DIwA	Foreign		
	Alfi Nipič	Silvestrski poljub	https://www.youtube.com/watch?v=3qTVsJ3JUTM	SLO		
	Alfi Nipič & Neca Falk	Kako sva si različna	https://www.youtube.com/watch?v=Otd93XuN6V0	SLO		
	Alicia Keys	If I Ain't Got You	http://www.youtube.com/watch?v=M5Q0eiMzup0	Foreign		
	Alicia Keys	Girl On Fire	http://www.youtube.com/watch?v=rSWHCZoX2mE	Foreign		
	Alisa	Sanja	https://www.youtube.com/watch?v=oCdvdX52YiQ	EX-YU		
	Alya	Fluid	https://www.youtube.com/watch?v=90dw1SmIW7A	SLO		
	Amy Winehouse	Back To Black	http://www.youtube.com/watch?v=nturlhtt7WA	Foreign		
	Andra Day	Rise Up	http://www.youtube.com/watch?v=J_E1mLcgYq4	Foreign		
	Andrej Šifrer	Gorska Roža	https://www.youtube.com/watch?v=SuyJANVtMuY	SLO		
	Anika Horvat	Ogenj in Led	https://www.youtube.com/watch?v=T-O0GOaoA4A	SLO		
	Anna Kendrick	Cups (Pitch Perfect's & When I'm Gone)	http://www.youtube.com/watch?v=mNL7iE-CxXA	Foreign		
	Anne Marie	2002	http://www.youtube.com/watch?v=xb3oMef3hnc	Foreign		
	Ariana Grande	7 Rings	http://www.youtube.com/watch?v=7BfhCUB_YkI	Foreign		
	Ariana Grande	Dangerous Woman	http://www.youtube.com/watch?v=jppqAygqVTc	Foreign		
	Ariana Grande	One Last Time	http://www.youtube.com/watch?v=Ca-PCQ2LMk4	Foreign		
	Ariana Grande	thank u, next	http://www.youtube.com/watch?v=KqrDah9PD_c	Foreign		
	Ariana Grande and Iggy Azalea	Problem	http://www.youtube.com/watch?v=YXVxusIRT5A	Foreign		
	Ariana Grande and Zedd	Break Free	http://www.youtube.com/watch?v=L2YJD9urLdA	Foreign		
	Ariana Grande ft. Nathan Sykes	Almost Is Never Enough	http://www.youtube.com/watch?v=4G4tntY30Qw	Foreign		
	Ariana Grande ft. Nicki Minaj	Side To Side	http://www.youtube.com/watch?v=GlkwnJTIrcI	Foreign		
