Radiohead 	 Creep	https://youtu.be/RQC7JL4a6fc?t=0
Alicia Keys 	 If I ain't got you	https://youtu.be/RQC7JL4a6fc?t=231
Hozier 	 Take me to church	https://youtu.be/RQC7JL4a6fc?t=450
Lady Gaga 	 Always Remember Us This Way	https://youtu.be/RQC7JL4a6fc?t=685
Keane 	 Somewhere Only We Know	https://youtu.be/RQC7JL4a6fc?t=886
Celine Dion 	 It's All Coming Back To Me Now	https://youtu.be/RQC7JL4a6fc?t=1116
4 Non Blondes 	 What's Up	https://youtu.be/RQC7JL4a6fc?t=1561
Jason Mraz 	 I'm Yours	https://youtu.be/RQC7JL4a6fc?t=1849
Eric Clapton 	 Tears In Heaven	https://youtu.be/RQC7JL4a6fc?t=2091
Billie Eilish, Khalid 	 Lovely	https://youtu.be/RQC7JL4a6fc?t=2355
Tom Odell 	 Another Love	https://youtu.be/RQC7JL4a6fc?t=2551
Alexandra Burke 	 Hallelujah	https://youtu.be/RQC7JL4a6fc?t=2792
Celine Dion 	 My Heart will go on	https://youtu.be/RQC7JL4a6fc?t=3003
John Legend 	 All Of Me	https://youtu.be/RQC7JL4a6fc?t=3266
Ed Sheeran 	 Perfect	https://youtu.be/RQC7JL4a6fc?t=3536
