Queen - Radio Ga	Ga	https://youtu.be/1cwiFQPHM0Q?t=0
David Bowie	Let's Dance	https://youtu.be/1cwiFQPHM0Q?t=356
Kenny Loggins	Footloose	https://youtu.be/1cwiFQPHM0Q?t=622
Joan Jett & The Blackhearts	I Love Rock ‘n’ Roll	https://youtu.be/1cwiFQPHM0Q?t=849
Bon Jovi	You Give Love A Bad Name	https://youtu.be/1cwiFQPHM0Q?t=1035
Phil Collins	In The Air Tonight	https://youtu.be/1cwiFQPHM0Q?t=1277
Toto	Africa	https://youtu.be/1cwiFQPHM0Q?t=1614
The Police	Roxanne	https://youtu.be/1cwiFQPHM0Q?t=1924
Bryan Adams	Summer of sixty nine	https://youtu.be/1cwiFQPHM0Q?t=2122
Billy Joel	Uptown Girl	https://youtu.be/1cwiFQPHM0Q?t=2351
Survivor	Eye Of The Tiger	https://youtu.be/1cwiFQPHM0Q?t=2556
REO Speedwagon	Can't Fight This Feeling	https://youtu.be/1cwiFQPHM0Q?t=2806
a-ha	Take On Me	https://youtu.be/1cwiFQPHM0Q?t=3092
Whitney Houston	I Wanna Dance With Somebody	https://youtu.be/1cwiFQPHM0Q?t=3331
